#Classification strategy
#(0) Hopeless
#(1) Arcs or arc constraints (basically anything with scintles resolved in time)
#(2) f_scint constraints (observable scint, not resolved in time)
#(3) Needs a re-do with different filtering pars
#(4) = 1+3), Arcs, but needs a re-do
#(5) = 2+3), f_scint, but needs a re-do
#(6) Borderline, or unsure

#PSRNAME CLASS
J1626-6621 1
J1627+1419 2
J1627-4706 0
J1627-5547 0
J1627-5936 4
J1629-3825 0
J1630-4719 0
J1630-4733 0
J1632-1013 0
J1632-4621 0
J1632-4757 0
J1632-4818 0
J1633-4453 3
J1633-5015 6
J1634-5640 0
J1635+2332 3
J1635-4944 3
J1635-5954 1
J1636-2614 6
J1636-4440 0
J1637-4450 0
J1637-4553 0
J1637-4642 0
J1638-3815 0
J1638-3951 0
J1638-4344 0
J1638-4417 0
J1638-4608 0
J1638-4725 0
J1638-5226 0
J1639-4604 0
J1640-4648 0
J1640-4715 0
J1640-4951 0
J1643-4505 0
J1643-4550 0
J1644-4559 0
J1644-4657 0
J1645+1012 3
J1645-0317 1
J1646-5123 0
J1647-3607 3
J1648-3256 1
J1648-4611 0
J1648-6044 4
J1649-3805 0
J1649-3935 0
J1649-4349 3
J1649-4653 0
J1650-4126 0
J1650-4341 0
J1650-4502 0
J1650-4921 0
J1651-1709 2
J1651-4246 0
J1651-5222 1
J1652-1400 0
J1653-3838 0
J1653-4249 0
J1654-3710 0
J1655-3048 0
J1655-3844 0
J1656-3621 0
J1657-4432 0
J1658-4958 0
J1659-1305 6
J1659-4439 0
J1700-3312 3
J1700-3919 0
J1700-4012 0
J1700-4422 0
J1700-4939 0
J1701-3130 0
J1701-4533 0
J1702-4128 0
J1702-4306 0
J1703-1846 1
J1703-3241 1
J1703-4442 3
J1703-4851 0
J1704-5236 0
J1705-1906 1
J1705-3423 6
J1705-3950 0
J1705-4331 0
J1706-6118 3
J1707-4053 0
J1707-4341 0
J1707-4417 3
J1707-4729 0
J1708-3641 3
J1709-1640 2
J1709-3626 0
J1709-3841 0
J1709-4401 0
J1709-4429 1
J1710-4148 0
J1711-1509 1
J1711-4322 0
J1711-5350 1
J1714-1054 3
J1715-3859 0
J1715-3903 0
J1716-4111 3
J1716-4711 0
J1717-3425 0
J1717-3737 0
J1717-4054 0
J1717-5800 0
J1718-3825 0
J1718-4539 0
J1719-4006 0
J1719-4302 0
J1720+2150 5
J1720-0212 2
J1720-1633 1
J1720-2933 2
J1720-3659 0
J1721-3532 0
J1722-3207 1
J1722-3632 3
J1722-3712 1
J1722-4400 0
J1723-3659 0
J1724-3149 0
J1725-0732 0
J1725-3546 0
J1726-3635 0
J1726-4006 0
J1728-0007 1
J1730-3350 0
J1731-3123 0
J1731-4744 1
J1733-3716 0
J1733-4005 0
J1734-0212 6
J1734-2415 0
J1734-3058 0
J1735-0724 1
J1735-3258 0
J1737-3102 0
J1737-3555 0
J1738-2647 0
J1738-2736 0
J1738-2955 0
J1738-3211 2
J1739-1313 2
J1739-2903 0
J1739-3023 0
J1739-3131 0
J1739-3951 0
J1740+1000 1
J1740+1311 1
J1740-3015 0
J1740-3052 0
J1740-3327 0
J1741-2945 0
J1741-3927 1
J1742-4616 4
J1743-0339 0
J1743-1351 1
J1743-3150 0
J1743-3153 0
J1743-4212 0
J1744-1610 4
J1744-3130 0
J1744-3922 3
J1744-5337 0
J1745-0129 1
J1745-3040 1
J1745-3812 0
J1746-2849 3
J1746-2856 0
J1748-1300 1
J1748-2021A 0
J1749-2629 0
J1749-5417 0
J1750-3157 3
J1750-3503 0
J1751-3323 0
J1751-4657 1
J1752+2359 3
J1752-2806 2
J1754-3443 0
J1754-3510 3
J1755-0903 1
J1755-2025 0
J1755-2521 0
J1755-2550 0
J1755-26 0
J1756-2225 0
J1757-1500 0
J1757-2421 0
J1758-1931 0
J1758-2540 0
J1759-2205 0
J1759-2307 0
J1759-2549 0
J1759-3107 0
J1800-0125 1
J1801-0357 3
J1801-2154 0
J1801-2304 0
J1801-2451 0
J1801-2920 4
J1802+0128 0
J1802-1745 0
J1802-2426 0
J1803-1920 0
J1803-2137 0
J1803-3329 0
J1805+0306 1
J1805-0619 3
J1805-2032 0
J1806+1023 2
J1806-1154 1
J1806-1618 0
J1806-2125 0
J1807+0756 2
J1807-0847 2
J1807-2715 0
J1808-0813 3
J1808-1020 0
J1808-1517 0
J1808-3249 0
J1809-0119 0
J1809-0743 0
J1809-1429 0
J1809-1917 0
J1809-1943 0
J1809-2109 3
J1810-1441 0
J1810-1820 0
J1810-5338 1
J1811+0702 1
J1811-0154 0
J1811-1736 0
J1811-2439 0
J1811-4930 1
J1812+0226 3
J1812-1718 3
J1812-1733 0
J1812-3039 0
J1813+1822 2
J1813-2113 0
J1814+1130 0
J1814-0521 3
J1814-1744 0
